id,name,category,description,subcategories,priority,data_type,applicable_context,subcategory_count,is_primary,evaluation_difficulty,related_facet_ids
49,Negative Affect Frequency,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 77, 85, 116]"
50,Innovation and Creativity Components,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
51,Achievement Motivation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
52,Feedback-giving frequency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
53,Dance-cardio sessions,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
54,Enthusiasm,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
55,Psychological construct: Social Desirability tendency,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Social Desirability tendency'],low,ordinal,both,1,False,medium,"[13, 26, 37, 58, 74]"
56,Inattentiveness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
57,Unassertiveness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
58,Decision-making decisiveness,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 74]"
59,Sense-of-coherence score,linguistic,Evaluation facet for assessing conversation quality on linguistic,[],high,ordinal,both,0,True,medium,"[168, 205, 215, 298, 395]"
60,Justice-mindedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
61,Subscription count,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
62,Depression Symptoms,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
63,Spatial perception,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
64,Brevity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
65,Orderliness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
66,Multiculturalism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
67,Creative risk-taking tendency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
68,Inefficiency,pragmatic,Evaluation facet for assessing conversation quality on pragmatic,[],medium,ordinal,both,0,False,medium,"[140, 284, 315, 364]"
69,Network basics,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
70,Alphabetical filing skills,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 92, 97, 99, 112]"
71,Work Styles,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
72,Character strength: Perseverance,personality,Evaluation facet for assessing conversation quality on personality,['Perseverance'],low,ordinal,both,1,False,high,"[154, 160, 226, 310, 358]"
73,Competition,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
74,Logical Sequence Identification,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
75,Sustainable-transport usage,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
76,Hardworking,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
77,Emotional-intelligence measure: Impulsiveness,emotion,Evaluation facet for assessing conversation quality on emotion,['Impulsiveness'],medium,ordinal,both,1,False,high,"[11, 17, 49, 85, 116]"
78,Dishonesty,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
79,Preferred epistemology,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
80,Memory for Sounds,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
81,Sportsmanship rating,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
82,Immaturity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
83,Health-literacy level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
84,Estimating Calculations,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
85,Depression: Feelings of sadness and hopelessness,emotion,Evaluation facet for assessing conversation quality on emotion,['Feelings of sadness and hopelessness'],medium,ordinal,both,1,False,high,"[11, 17, 49, 77, 116]"
86,Synthesis of information,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
87,Leadership Potential,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
88,Ethical standards,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[114, 165, 186, 189, 251]"
89,High-spiritedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
90,Critical reasoning,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
91,Sleep-disorder diagnosis,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
92,Listening Skills Subcomponents,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 97, 99, 112]"
93,Collaboration,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
94,Precision of Movements,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
95,Social Boldness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
96,Auditory memory,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
97,Psychomotor Ability Subcomponents,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 99, 112]"
98,Organized lifestyle,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
99,Skill-endorsements count,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 112]"
100,Mysteriousness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
101,Cultural Identity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
102,Intrinsic Motivation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
103,Impartial-mindedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
104,Burnout Symptoms,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
105,Holiness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
106,Selfcontrol,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
107,SelfDirectedness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
108,Encouraging participation,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
109,Impracticalness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
110,Meeting Deadlines,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
111,Data Analysis,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
112,Social Interaction Skills,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
113,Psychoticism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
114,Ethical leadership rating,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 165, 186, 189, 251]"
115,Slothfulness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
116,Happiness,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
117,Contentment Levels,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
118,Neuroticism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
119,Desire for excellence,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
120,Perceiving,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
121,Liberalism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
122,Inversion comfort level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
123,Affection,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
124,Numeric Filing Skills,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
125,Martyrdom,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
126,Parathyroid-hormone level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
127,Seeking approval,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
128,Judging (J),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
129,Big Five facet Openness – Artistic Interests,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
130,Psychological construct: Operant-Learning rate,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Operant-Learning rate'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
131,Psychological construct: Need for Achievement level,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Need for Achievement level'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
132,Cantankerousness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
133,Material properties knowledge,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
134,Hostility,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
135,Independence,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
136,Sufi practice: Sufi retreat attendance count,unknown,Evaluation facet for assessing conversation quality on unknown,['Sufi retreat attendance count'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
137,Chromatin-accessibility score,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
138,Spiritual virtue: Humility practice index,unknown,Evaluation facet for assessing conversation quality on unknown,['Humility practice index'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
139,I Ching hexagram 36 resonance level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
140,Well-being component: Engagement,pragmatic,Evaluation facet for assessing conversation quality on pragmatic,['Engagement'],medium,ordinal,both,1,False,medium,"[68, 284, 315, 364]"
141,Need for social interaction,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
142,Peer-collaboration hours,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
143,Arts and Humanities,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
144,Religious practice: Quran khatam cycles per year,unknown,Evaluation facet for assessing conversation quality on unknown,['Quran khatam cycles per year'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
145,Bahá’í spiritual metric: Ridván festival participation,unknown,Evaluation facet for assessing conversation quality on unknown,['Ridván festival participation'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
146,Compassion,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
147,Information Retention,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
148,Eye-contact duration,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
149,Self-righteousness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
150,General Mood and Attitude,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
151,Serotonin transporter availability,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
152,Contribution to Group Goals,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
153,Dignity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
154,HEXACO Personality Inventory Facets,personality,Evaluation facet for assessing conversation quality on personality,[],low,ordinal,both,0,False,high,"[72, 160, 226, 310, 358]"
155,Evaluating Solutions,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
156,Input,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
157,Discreteness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
158,Energy-healing practice: Reiki sessions / year,unknown,Evaluation facet for assessing conversation quality on unknown,['Reiki sessions / year'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
159,Astrology: Rising sign is Scorpio,unknown,Evaluation facet for assessing conversation quality on unknown,['Rising sign is Scorpio'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
160,Character strength: Social Intelligence,personality,Evaluation facet for assessing conversation quality on personality,['Social Intelligence'],low,ordinal,both,1,False,high,"[72, 154, 226, 310, 358]"
161,Bravery,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
162,Childhood Experiences,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
163,Data-sharing consent level,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
164,Vision-check frequency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
165,Physical-violence exposure,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 114, 186, 189, 251]"
166,Macronutrient ratio: fat,unknown,Evaluation facet for assessing conversation quality on unknown,['fat'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
167,Cooking and Culinary Arts,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
168,Language use,linguistic,Evaluation facet for assessing conversation quality on linguistic,[],high,ordinal,both,0,True,medium,"[59, 205, 215, 298, 395]"
169,Dance-style mastery diversity,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
170,Satya Adherence,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
171,Ethnocentrism,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
172,Emotional Boundaries,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
173,Creativity in solutions,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
174,Psychological construct: Hope scale,cognitive,Evaluation facet for assessing conversation quality on cognitive,['Hope scale'],low,ordinal,both,1,False,medium,"[13, 26, 37, 55, 58]"
175,Practice frequency: Walking meditation,unknown,Evaluation facet for assessing conversation quality on unknown,['Walking meditation'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
176,Depression (DEP),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
177,Understanding Mathematical Concepts,cognitive,Evaluation facet for assessing conversation quality on cognitive,[],low,ordinal,both,0,False,medium,"[13, 26, 37, 55, 58]"
178,Hypomania (Ma),unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
179,Goal-Directed Behavior,behavioral,Evaluation facet for assessing conversation quality on behavioral,[],low,ordinal,both,0,False,low,"[16, 70, 92, 97, 99]"
180,Depth of Emotional Connections,emotion,Evaluation facet for assessing conversation quality on emotion,[],medium,ordinal,both,0,False,high,"[11, 17, 49, 77, 85]"
181,Binding foundations index,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
182,Ego Dissolution Frequency,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
183,Activator: Turning thoughts into action,behavioral,Evaluation facet for assessing conversation quality on behavioral,['Turning thoughts into action'],low,ordinal,both,1,False,low,"[16, 70, 92, 97, 99]"
184,Gnostic spiritual metric: Archon meditation frequency,unknown,Evaluation facet for assessing conversation quality on unknown,['Archon meditation frequency'],low,ordinal,both,1,False,medium,"[1, 2, 3, 4, 5]"
185,Exemplariness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
186,Moral and Ethical Parameters,safety,Evaluation facet for assessing conversation quality on safety,[],high,ordinal,both,0,True,high,"[88, 114, 165, 189, 251]"
187,Submission,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
188,Frankness,unknown,Evaluation facet for assessing conversation quality on unknown,[],low,ordinal,both,0,False,medium,"[1, 2, 3, 4, 5]"
189,Psychological construct: Psychological Safety climate,safety,Evaluation facet for assessing conversation quality on safety,['Psychological Safety climate'],high,ordinal,both,1,True,high,"[88, 114, 165, 186, 251]"
